apn,address,base_zoning,lot_size_sqft,zip_code,original_score,calibrated_score,score_improvement,original_tier,calibrated_tier,toc_tier,toc_bonus_points,toc_station,distance_to_transit,final_use_case,investment_grade
4116025007,426 E TALBERT ST,R1,6000.4,90293.0,31.75,30.25,-1.5,D,D,,,,,Hold/Income Property,False
5002022019,1025 W 56TH ST,R2,5114.2,90037.0,34.14,37.01,2.8699999999999974,D,D,,,,,Hold/Income Property,False
2623021007,9952 N HADDON AVE,R1,7218.0,91331.0,33.18,31.4,-1.7800000000000011,D,D,,,,,Hold/Income Property,False
5146002037,1011 E 8TH ST,LB1,3210.2,90021.0,22.78,26.71,3.9299999999999997,D,D,,,,,Hold/Income Property,False
5424011017,1428 N OCCIDENTAL BLVD,R1,4987.2,90026.0,30.47,29.24,-1.2300000000000004,D,D,0.0,0.0,Hollywood/Highland,4547.0,Hold/Income Property,False
2301004005,13455 W EBELL ST,R1,6775.1,91402.0,32.72,31.03,-1.6899999999999977,D,D,,,,,Hold/Income Property,False
5527005002,852 N GENESEE AVE,R2,6498.4,90046.0,34.37,33.5,-0.8699999999999974,D,D,0.0,0.0,Sierra Madre Villa,39322.0,Hold/Income Property,False
5046028009,3693 S VIRGINIA ROAD,R1,6239.9,90016.0,32.05,33.49,1.4400000000000048,D,D,1.0,5.0,Washington/Crenshaw,1017.0,Hold/Income Property,False
2508019058,12740 N DE HAVEN AVE,R1,6744.5,91342.0,32.68,30.99,-1.6900000000000013,D,D,,,,,Hold/Income Property,False
4230027007,4250 S BEETHOVEN ST,R1,4400.4,90066.0,29.0,28.65,-0.3500000000000014,D,D,,,,,Hold/Income Property,False
5689004035,,R1,689.4,,21.65,24.94,3.2900000000000027,D,D,0.0,0.0,Washington,18856.0,Hold/Income Property,False
2568015017,7023 W GREELEY ST,RD1.5,7054.9,91042.0,43.75,41.79,-1.9600000000000009,D,D,0.0,0.0,Civic Center/Grand Park,9443.0,Hold/Income Property,False
5577022001,2937 N LAKERIDGE DR,RE15,12599.8,90068.0,34.4,32.54,-1.8599999999999994,D,D,,,,,Hold/Income Property,False
2228030001,7127 N LOUISE AVE,R1,9771.8,91406.0,35.31,37.6,2.289999999999999,D,D,2.0,8.0,7th St/Metro Center,2148.0,Hold/Income Property,False
5103021017,851 E 55TH ST,R2,1400.1,90011.0,25.83,29.9,4.07,D,D,,,,,Hold/Income Property,False
7414037006,1225 W DOLORES ST,R1,6045.7,90744.0,31.81,30.3,-1.509999999999998,D,D,0.0,0.0,North Hollywood,22726.0,Hold/Income Property,False
5135032005,1418 S TOBERMAN ST,RD1.5,7343.3,90015.0,44.49,41.98,-2.510000000000005,D,D,,,,,Hold/Income Property,False
4318012012,2559 S AIKEN AVE,R1V2,5576.8,90064.0,30.72,28.83,-1.8900000000000006,D,D,0.0,0.0,Sierra Madre Villa,52108.0,Hold/Income Property,False
5107013019,4727 S COMPTON AVE,C2,2374.4,90011.0,41.96,49.37,7.409999999999997,D,D,0.0,0.0,Long Beach,25506.0,Commercial Development,False
6039018070,845 W 94TH ST,RD2,4056.0,90044.0,42.14,42.31,0.1700000000000017,D,D,0.0,0.0,Pershing Square,6993.0,Hold/Income Property,False
5147023023,607 E 6TH ST,MB2,3148.1,90021.0,23.62,28.15,4.529999999999998,D,D,0.0,0.0,San Pedro Street,3458.0,Hold/Income Property,False
2316011007,11470 W SATICOY ST,R1,6599.8,91605.0,32.5,30.85,-1.6499999999999986,D,D,,,,,Hold/Income Property,False
2610010029,,OS,276.7,,12.46,16.78,4.32,D,D,,,,,Hold/Income Property,False
5174019018,308 1/2 S BOYLE AVE,R4,7003.1,90033.0,49.0,48.0,-1.0,D,D,,,,,Multi-Family Development,False
6036006027,8807 S GRAMERCY PL,R1,6167.8,90047.0,31.96,30.42,-1.5399999999999991,D,D,,,,,Hold/Income Property,False
2547025004,10652 N VANORA DR,R1,6037.8,91040.0,31.8,30.29,-1.5100000000000016,D,D,0.0,0.0,Long Beach,27115.0,Hold/Income Property,False
2692013016,17154 W MARILLA ST,RA,18896.7,91325.0,34.92,33.58,-1.3400000000000034,D,D,0.0,0.0,Washington,8371.0,Hold/Income Property,False
5108023013,911 E 48TH ST,R2,7411.8,90011.0,36.84,36.77,-0.07000000000000028,D,D,0.0,0.0,North Hollywood,35702.0,Hold/Income Property,False
2190002042,4211 N CANOGA DR,R1,5700.7,91364.0,31.38,29.95,-1.4299999999999997,D,D,,,,,Hold/Income Property,False
7416030025,,RD2,3000.4,,39.0,41.25,2.25,D,D,0.0,0.0,North Hollywood,30405.0,Hold/Income Property,False
