apn,address,zip_code,zoning,lot_size,building_sqft,units,toc_status,lot_size_sqft,building_size_sqft,base_zoning,latitude,longitude,toc_eligible,high_quality_transit,opportunity_zone,overlay_count,methane_zone,fault_zone,flood_zone,specific_plan_area,assessed_land_value,total_assessed_value,assessor_parcel_id,site_address,toc_toc_tier,toc_bonus_points,toc_description,toc_nearest_station,toc_distance_feet,toc_station_type,toc_station_line,development_score,score_breakdown,suggested_use,investment_tier
4314021019,3326 1-9 S KEYSTONE AVE,90034.0,R3-1,"7,495.2 (sq ft)","7,766.0 (sq ft)",9.0,,7495.2,7766.0,R3,34.02697437348606,-118.38835103242008,False,No,none,0,none,none,none,,8576231.524986802,12609022.258170793,4314021019,3326 1-9 S KEYSTONE AVE,,,,,,,,42.83,"{""zoning_score"": 80.0, ""lot_size_score"": 66.65066666666667, ""toc_bonus"": 0, ""financial_score"": 15, ""risk_penalty"": 0}",Multi-Family Development,D
7349018028,1539 W 214TH ST,90501.0,R1-1,"6,000.7 (sq ft)","1,448.0 (sq ft)",1.0,,6000.7,1448.0,R1,33.88485016519683,-118.29864019417593,False,No,none,0,none,none,none,,3145119.520974801,3563741.0705499295,7349018028,1539 W 214TH ST,0.0,0.0,No TOC Tier,Long Beach,48425.0,rail,Blue,30.25,"{""zoning_score"": 45.0, ""lot_size_score"": 60.0035, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
7459010014,1356 W 17TH ST,90732.0,R1-1XL,"6,832.8 (sq ft)","3,062.0 (sq ft)",1.0,,6832.8,3062.0,R1,33.74583464445444,-118.30727299088339,False,No,none,0,none,none,none,,4356633.690125581,5398610.521364715,7459010014,1356 W 17TH ST,0.0,0.0,No TOC Tier,Washington,9341.0,rail,Blue,31.08,"{""zoning_score"": 45.0, ""lot_size_score"": 64.164, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5064008028,,,C2-1VL-CPIO,"3,256.1 (sq ft)","2,044.0 (sq ft)",0.0,,3256.1,2044.0,C2,,,False,No,none,0,none,none,none,,1530559.7789873516,2064167.4664094707,5064008028,,,,,,,,,49.26,"{""zoning_score"": 110.0, ""lot_size_score"": 46.280499999999996, ""toc_bonus"": 0.0, ""financial_score"": 15, ""risk_penalty"": 0}",Commercial Development,D
2527005013,11870 N SPROULE AVE,91331.0,R1-1-CUGU,"7,352.4 (sq ft)","1,075.0 (sq ft)",1.0,,7352.4,1075.0,R1,34.24923383833935,-118.21894849973302,False,No,none,0,none,none,none,,3996395.3225523746,4342428.871168754,2527005013,11870 N SPROULE AVE,0.0,0.0,No TOC Tier,North Hollywood,21350.0,rail,Red,31.48,"{""zoning_score"": 45.0, ""lot_size_score"": 66.17466666666667, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2507012012,14466 W BEAVER ST,91342.0,R1-1,"6,171.3 (sq ft)",997.0 (sq ft),1.0,,6171.3,997.0,R1,34.26149013657894,-118.1445951998749,False,No,none,0,none,none,none,,5579171.126913911,6105218.277761345,2507012012,14466 W BEAVER ST,2.0,8.0,Tier 2 - Transit Zone,Farmdale,1624.0,rail,Expo,34.92,"{""zoning_score"": 45.0, ""lot_size_score"": 60.856500000000004, ""toc_bonus"": 15, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5431036010,1745 N SILVER LAKE BLVD,90026.0,R2-1VL,"2,703.3 (sq ft)","2,532.0 (sq ft)",1.0,,2703.3,2532.0,R2,34.07605533784046,-118.27193969334307,False,No,none,0,none,none,none,,3065707.0881115915,4089489.160859583,5431036010,1745 N SILVER LAKE BLVD,0.0,0.0,No TOC Tier,Expo/Bundy,8461.0,rail,Expo,31.2,"{""zoning_score"": 60.0, ""lot_size_score"": 43.5165, ""toc_bonus"": 0, ""financial_score"": 15, ""risk_penalty"": 0}",Hold/Income Property,D
5567013031,2012 N STANLEY HILLS DR,90046.0,R1-1-HCR,"3,000.0 (sq ft)",,,,3000.0,0.0,R1,34.10409372610735,-118.35538793177481,False,No,none,0,none,none,none,,3048614.0150005855,3048614.0150005855,5567013031,2012 N STANLEY HILLS DR,,,,,,,,27.25,"{""zoning_score"": 45.0, ""lot_size_score"": 45.0, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5402034014,2127 3/4 W SUNSET BLVD,90026.0,[Q]C2-1VL,"7,512.9 (sq ft)","1,528.0 (sq ft)",0.0,,7512.9,1528.0,C2,34.089669136153546,-118.25772619537688,False,No,none,0,none,none,none,,7853694.065711943,8558549.394505857,5402034014,2127 3/4 W SUNSET BLVD,,,,,,,,54.34,"{""zoning_score"": 110.0, ""lot_size_score"": 66.70966666666666, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Commercial Development,C
7425015003,1310 E ROBIDOUX ST,90744.0,R1-1XL-O-CUGU,"5,120.6 (sq ft)","1,424.0 (sq ft)",1.0,,5120.6,1424.0,R1,33.790489299616134,-118.27923810835642,False,No,none,0,none,none,none,,3037205.743714907,3888890.2793671843,7425015003,1310 E ROBIDOUX ST,,,,,,,,29.37,"{""zoning_score"": 45.0, ""lot_size_score"": 55.603, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5139011002,1053 S HILL ST,90015.0,[HB3-G1-5] [CX2-FA] [CPIO-O],"4,783.2 (sq ft)","2,999.0 (sq ft)",0.0,,4783.2,2999.0,HB3,34.04845606406806,-118.26621087377087,False,No,none,0,none,none,none,,3723243.3982670708,5395169.2964842655,5139011002,1053 S HILL ST,0.0,0.0,No TOC Tier,Expo/Sepulveda,4684.0,rail,Expo,29.78,"{""zoning_score"": 50.0, ""lot_size_score"": 53.916, ""toc_bonus"": 0, ""financial_score"": 15, ""risk_penalty"": 0}",Hold/Income Property,D
2369023001,3809 N BUENA PARK DR,91604.0,R1-1,"8,714.1 (sq ft)","1,853.0 (sq ft)",1.0,,8714.1,1853.0,R1,34.21061869806693,-118.45904144354132,False,No,none,0,none,none,none,,5066787.718808205,6119610.930700174,2369023001,3809 N BUENA PARK DR,0.0,0.0,No TOC Tier,Long Beach,40782.0,rail,Blue,32.39,"{""zoning_score"": 45.0, ""lot_size_score"": 70.71366666666667, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2555026024,8428 W FENWICK ST,91040.0,R1-1-RFA,"4,949.7 (sq ft)",973.0 (sq ft),1.0,,4949.7,973.0,R1,34.19576959820544,-118.21471706914336,False,No,none,0,none,none,none,,2372605.135171917,2828092.907117768,2555026024,8428 W FENWICK ST,0.0,0.0,No TOC Tier - Missing Coordinates,,,,,29.2,"{""zoning_score"": 45.0, ""lot_size_score"": 54.7485, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2355006035,11849 W HARTSOOK ST,91607.0,R1-1,"7,799.8 (sq ft)","1,714.0 (sq ft)",1.0,,7799.8,1714.0,R1,34.21732955162431,-118.54343471066592,False,No,none,0,none,none,none,,3672681.619348832,4431736.53716055,2355006035,11849 W HARTSOOK ST,0.0,0.0,No TOC Tier,Sierra Madre Villa,48906.0,rail,Gold,31.78,"{""zoning_score"": 45.0, ""lot_size_score"": 67.666, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
6002014033,1611 W 60TH ST,90047.0,R1-1,"3,370.5 (sq ft)",858.0 (sq ft),1.0,,3370.5,858.0,R1,33.95606987620259,-118.31646555696753,False,No,none,0,none,none,none,,3936134.9020260456,4424658.2714450285,6002014033,1611 W 60TH ST,,,,,,,,27.62,"{""zoning_score"": 45.0, ""lot_size_score"": 46.8525, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
