apn,address,zip_code,zoning,lot_size,building_sqft,units,toc_status
2782035010,"19709 W GRESHAM ST",91324,RS-1,"8,531.6 (sq ft)","1,465.0 (sq ft)",1,
2509009004,"12977 N SPROULE AVE",91342,R1-1,"6,102.1 (sq ft)","1,259.0 (sq ft)",1,
2329001004,"13622 1/2 W VANOWEN ST",91405,[Q]RD1.5-1,"6,111.1 (sq ft)","2,806.0 (sq ft)",4,
5420029006,"1728 N ASHMORE PL",90026,RD3-1VL,"3,664.9 (sq ft)","875.0 (sq ft)",1,
5518029016,"255 S NEW HAMPSHIRE AVE",90004,R3-1,"7,800.0 (sq ft)","19,607.0 (sq ft)",25,
5206006016,"2676 N WORKMAN ST",90031,RD1.5-1-HPOZ,"7,495.0 (sq ft)","1,159.0 (sq ft)",1,
2078006021,"22600 W WATERBURY ST",91364,RE15-1-H,"14,598.6 (sq ft)","2,521.0 (sq ft)",1,
5042005001,"3601 S 2ND AVE",90018,R1-1-HPOZ,"5,600.5 (sq ft)","1,662.0 (sq ft)",1,
2023008009,"22014 W CANTLAY ST",91303,R1-1,"6,499.7 (sq ft)","994.0 (sq ft)",1,
6015003019,"1615 W 65TH ST",90047,R1-1,"4,763.9 (sq ft)","936.0 (sq ft)",1,
2263025022,"14611 W HUSTON ST",91403,R1-1-RIO,"6,087.4 (sq ft)","1,860.0 (sq ft)",1,
5473016015,,,R1-1-HCR,"1,741.5 (sq ft)","388.0 (sq ft)",1,
2543006024,"10222 W MCBROOM ST",91040,RA-1-K,"18,288.3 (sq ft)","2,222.0 (sq ft)",1,
4423012024,"1023 N HARTZELL ST",90272,R1V1,"5,203.1 (sq ft)","1,106.0 (sq ft)",1,
4294008029,"5502 S PACIFIC AVE",90292,RW1-1,"3,865.3 (sq ft)","4,321.0 (sq ft)",1,
6014024027,"1337 W 69TH ST",90044,R1-1,"4,026.7 (sq ft)","925.0 (sq ft)",1,
6002014033,"1611 W 60TH ST",90047,R1-1,"3,370.5 (sq ft)","858.0 (sq ft)",1,
2137006011,"6930 N COZYCROFT AVE",91306,RS-1-RIO,"7,760.5 (sq ft)","1,224.0 (sq ft)",1,
2369006007,"12133 W MAXWELLTON ROAD",91604,R1-1-RIO,"7,616.2 (sq ft)","1,765.0 (sq ft)",1,
6046003038,"9405 S HICKORY ST",90002,R1-1,"3,375.2 (sq ft)","1,344.0 (sq ft)",1,
4406024005,"321 S CHADBOURNE AVE",90049,RE11-1,"16,738.9 (sq ft)","10,144.0 (sq ft)",1,
2153019005,"5709 N CORBIN AVE",91356,RA-1,"17,002.7 (sq ft)","1,700.0 (sq ft)",1,
7559014025,"1606 W 1ST ST",90732,R1-1XL,"13,094.9 (sq ft)","1,616.0 (sq ft)",1,
5435009028,"3939 W BOYCE AVE",90039,R1-1-RIO,"4,053.0 (sq ft)","1,175.0 (sq ft)",1,
2784017022,"19150 W COMMUNITY ST",91324,RS-1,"7,597.2 (sq ft)","1,461.0 (sq ft)",1,
2039027017,"22425 W OXNARD ST",91367,RE11-1,"11,054.3 (sq ft)","2,398.0 (sq ft)",1,
5021023002,"4256 S HOBART BLVD",90062,R1-1,"5,525.1 (sq ft)","1,187.0 (sq ft)",1,
6040014002,"8607 S BROADWAY",90003,C2-1-CPIO,"2,568.2 (sq ft)","7,623.0 (sq ft)",0,
4116016012,"260 E REES ST",90293,R1-1,"6,994.2 (sq ft)","2,340.0 (sq ft)",1,
2222035032,"7126 N FIRMAMENT AVE",91406,R1-1,"9,882.3 (sq ft)","1,552.0 (sq ft)",1,
4431005016,"17137 W AVENIDA DE SANTA YNEZ",90272,R1-1,"14,558.0 (sq ft)","3,001.0 (sq ft)",1,
5015027007,"4638 S ARLINGTON AVE",90043,R2-1,"6,044.8 (sq ft)","946.0 (sq ft)",1,
5438018018,"2718 W LOCKSLEY PL",90039,RD2-1VL,"5,418.8 (sq ft)","2,174.0 (sq ft)",1,
4409004006,"1247 N VILLA WOODS DR",90272,RE11-1,"26,585.3 (sq ft)","3,839.0 (sq ft)",1,
5551030009,"1345 N SPAULDING AVE",90046,R1-1-HPOZ,"6,750.4 (sq ft)","1,279.0 (sq ft)",1,
5590022010,"4543 W KINGSWELL AVE",90027,R2-1XL,"6,755.0 (sq ft)","2,374.0 (sq ft)",2,
6032018050,"633 W 85TH ST",90044,R3-1,"6,303.2 (sq ft)","1,146.0 (sq ft)",1,
5214009008,"4514 E DUDLEY DR",90032,[Q]R1-1D-HCR,"3,106.4 (sq ft)",,,
2602009021,"13070 N MEADOWLARK AVE",91344,RS-1,"8,257.0 (sq ft)","2,625.0 (sq ft)",1,
2146008256,"22001 W BURBANK BLVD",91367,(WC)TOPANGA-SN,"26,168.9 (sq ft)","1,539.0 (sq ft)",1,
2610010029,,,OS-1XL,"276.7 (sq ft)","1,909.0 (sq ft)",1,
6014030019,"1115 W 71ST ST",90044,R1-1,"4,684.8 (sq ft)","1,374.0 (sq ft)",1,
